"geo_id","name","s1701_c01_001e","s1701_c03_001e"
"11001007404","Census Tract 74.04, District of Columbia, District of Columbia","3799","15.7"
"11001007406","Census Tract 74.06, District of Columbia, District of Columbia","3957","49.6"
"11001007407","Census Tract 74.07, District of Columbia, District of Columbia","3416","28.2"
"11001007408","Census Tract 74.08, District of Columbia, District of Columbia","3148","44.1"
"11001007409","Census Tract 74.09, District of Columbia, District of Columbia","4394","44.1"
"11001007502","Census Tract 75.02, District of Columbia, District of Columbia","4847","37.0"
"11001007503","Census Tract 75.03, District of Columbia, District of Columbia","2634","36.1"
"11001007504","Census Tract 75.04, District of Columbia, District of Columbia","2693","43.0"
"11001007601","Census Tract 76.01, District of Columbia, District of Columbia","4906","18.3"
"11001007603","Census Tract 76.03, District of Columbia, District of Columbia","4155","26.5"
"11001007604","Census Tract 76.04, District of Columbia, District of Columbia","4040","18.4"
"11001007605","Census Tract 76.05, District of Columbia, District of Columbia","3474","23.2"
"11001007703","Census Tract 77.03, District of Columbia, District of Columbia","7111","32.5"
"11001007707","Census Tract 77.07, District of Columbia, District of Columbia","4580","24.4"
"11001007708","Census Tract 77.08, District of Columbia, District of Columbia","2370","31.8"
"11001007709","Census Tract 77.09, District of Columbia, District of Columbia","2176","27.7"
"11001007803","Census Tract 78.03, District of Columbia, District of Columbia","4518","30.0"
"11001007804","Census Tract 78.04, District of Columbia, District of Columbia","3749","21.6"
"11001007806","Census Tract 78.06, District of Columbia, District of Columbia","2541","12.0"
"11001007807","Census Tract 78.07, District of Columbia, District of Columbia","2425","24.1"
"11001007808","Census Tract 78.08, District of Columbia, District of Columbia","4066","38.9"
"11001007809","Census Tract 78.09, District of Columbia, District of Columbia","2965","32.2"
"11001007901","Census Tract 79.01, District of Columbia, District of Columbia","4950","30.7"
"11001007903","Census Tract 79.03, District of Columbia, District of Columbia","1831","5.8"
"11001008001","Census Tract 80.01, District of Columbia, District of Columbia","2986","1.8"
"11001008002","Census Tract 80.02, District of Columbia, District of Columbia","3479","6.6"
"11001008100","Census Tract 81, District of Columbia, District of Columbia","3142","0.5"
"11001008200","Census Tract 82, District of Columbia, District of Columbia","2681","5.8"
"11001008301","Census Tract 83.01, District of Columbia, District of Columbia","2812","4.5"
"11001008302","Census Tract 83.02, District of Columbia, District of Columbia","2780","1.0"
"11001008402","Census Tract 84.02, District of Columbia, District of Columbia","2349","6.6"
"11001008410","Census Tract 84.10, District of Columbia, District of Columbia","2058","3.3"
"11001008701","Census Tract 87.01, District of Columbia, District of Columbia","2662","9.5"
"11001008702","Census Tract 87.02, District of Columbia, District of Columbia","3190","10.2"
"11001008802","Census Tract 88.02, District of Columbia, District of Columbia","4236","21.0"
"11001008803","Census Tract 88.03, District of Columbia, District of Columbia","2930","30.2"
"11001008804","Census Tract 88.04, District of Columbia, District of Columbia","2773","24.1"
"11001008903","Census Tract 89.03, District of Columbia, District of Columbia","3722","30.0"
"11001008904","Census Tract 89.04, District of Columbia, District of Columbia","4070","20.3"
"11001009000","Census Tract 90, District of Columbia, District of Columbia","3566","7.4"
"11001009102","Census Tract 91.02, District of Columbia, District of Columbia","4790","26.6"
"11001009201","Census Tract 92.01, District of Columbia, District of Columbia","2796","18.8"
"11001009203","Census Tract 92.03, District of Columbia, District of Columbia","3095","11.6"
"11001009204","Census Tract 92.04, District of Columbia, District of Columbia","3249","35.3"
"11001009301","Census Tract 93.01, District of Columbia, District of Columbia","3529","9.7"
"11001009302","Census Tract 93.02, District of Columbia, District of Columbia","1629","12.8"
"11001009400","Census Tract 94, District of Columbia, District of Columbia","4912","8.0"
"11001009503","Census Tract 95.03, District of Columbia, District of Columbia","2965","7.0"
"11001009504","Census Tract 95.04, District of Columbia, District of Columbia","2982","9.8"
"11001009505","Census Tract 95.05, District of Columbia, District of Columbia","4177","4.8"
"11001009507","Census Tract 95.07, District of Columbia, District of Columbia","1685","18.5"
"11001009508","Census Tract 95.08, District of Columbia, District of Columbia","3972","9.4"
"11001009509","Census Tract 95.09, District of Columbia, District of Columbia","3205","4.2"
"11001009510","Census Tract 95.10, District of Columbia, District of Columbia","4853","12.7"
"11001009511","Census Tract 95.11, District of Columbia, District of Columbia","104","100.0"
"11001009601","Census Tract 96.01, District of Columbia, District of Columbia","2309","24.3"
"11001009602","Census Tract 96.02, District of Columbia, District of Columbia","4624","41.9"
"11001009603","Census Tract 96.03, District of Columbia, District of Columbia","3902","28.3"
"11001009604","Census Tract 96.04, District of Columbia, District of Columbia","2414","8.0"
"11001009700","Census Tract 97, District of Columbia, District of Columbia","3556","24.8"
"11001009801","Census Tract 98.01, District of Columbia, District of Columbia","1816","41.2"
"11001009802","Census Tract 98.02, District of Columbia, District of Columbia","1913","42.1"
"11001009803","Census Tract 98.03, District of Columbia, District of Columbia","3197","29.6"
"11001009804","Census Tract 98.04, District of Columbia, District of Columbia","2668","25.5"
"11001009807","Census Tract 98.07, District of Columbia, District of Columbia","3555","20.8"
"11001009810","Census Tract 98.10, District of Columbia, District of Columbia","2419","23.5"
"11001009811","Census Tract 98.11, District of Columbia, District of Columbia","4051","26.4"
"11001009901","Census Tract 99.01, District of Columbia, District of Columbia","2290","4.6"
"11001009902","Census Tract 99.02, District of Columbia, District of Columbia","3153","12.8"
"11001009903","Census Tract 99.03, District of Columbia, District of Columbia","2368","6.8"
"11001009904","Census Tract 99.04, District of Columbia, District of Columbia","3094","32.2"
"11001009905","Census Tract 99.05, District of Columbia, District of Columbia","3073","38.6"
"11001009906","Census Tract 99.06, District of Columbia, District of Columbia","1832","19.5"
"11001009907","Census Tract 99.07, District of Columbia, District of Columbia","2476","23.8"
"11001010100","Census Tract 101, District of Columbia, District of Columbia","2731","11.5"
"11001010201","Census Tract 102.01, District of Columbia, District of Columbia","2522","6.1"
"11001010202","Census Tract 102.02, District of Columbia, District of Columbia","1930","7.2"
"11001010300","Census Tract 103, District of Columbia, District of Columbia","3983","9.2"
"11001010400","Census Tract 104, District of Columbia, District of Columbia","4524","23.2"
"11001010500","Census Tract 105, District of Columbia, District of Columbia","4027","20.9"
"11001010601","Census Tract 106.01, District of Columbia, District of Columbia","1916","16.5"
